kind,label,caption,cell_index,filename
figure,Figure 21,"Figure 21. Overall yes-share of each symptom and lifestyle variable, with exact-binomial 95% confidence intervals and a 50% reference line.",78,figure-021-figure-21-overall-yes-share-of-each-symptom-and-lifestyle-variable-with-exact-binomial-95.png
figure,Figure 22,Figure 22. Stacked yes/no share of each symptom and lifestyle variable across the full working dataset.,78,figure-022-figure-22-stacked-yes-no-share-of-each-symptom-and-lifestyle-variable-across-the-full-work.png
table,Table 29,"Table 29, Welch's independent-samples t-test results for all natural features",81,table-029-table-29-welch-s-independent-samples-t-test-results-for-all-natural-features.png
table,Table 30,"Table 30, Welch's independent-samples t-test results for engineered features",81,table-030-table-30-welch-s-independent-samples-t-test-results-for-engineered-features.png
figure,Figure 23,Figure 23 converts the binary-feature means from,84,figure-023-figure-23-converts-the-binary-feature-means-from.png
figure,Figure 23,"Figure 23. Within-class yes-share of each original binary feature by lung cancer status, ordered by the cancer-minus-no-cancer gap. Asterisks mark Welch-test significance at p",86,figure-023-figure-23-within-class-yes-share-of-each-original-binary-feature-by-lung-cancer-status-ord.png
figure,Figure 24,"Figure 24. Age distribution by lung cancer status, shown as a box-and-strip plot and overlapping density curves.",88,figure-024-figure-24-age-distribution-by-lung-cancer-status-shown-as-a-box-and-strip-plot-and-overlap.png
figure,Figure cell 90,Figure cell 90,90,figure-090-figure-cell-90.png
figure,Figure cell 93,Figure cell 93,93,figure-093-figure-cell-93.png
table,Table 31,"Table 31, Gaussian Naive Bayes baseline configuration and evaluation settings",107,table-031-table-31-gaussian-naive-bayes-baseline-configuration-and-evaluation-settings.png
table,Table 32,"Table 32, Gaussian Naive Bayes baseline average hold-out performance metrics across 30 runs",107,table-032-table-32-gaussian-naive-bayes-baseline-average-hold-out-performance-metrics-across-30-runs.png
figure,Figure 25,Figure 25. Gaussian Naive Bayes baseline average confusion matrix across 30 stratified hold-out runs.,107,figure-025-figure-25-gaussian-naive-bayes-baseline-average-confusion-matrix-across-30-stratified-hold.png
table,Table 33,"Table 33, Engineered-feature experiment configuration",112,table-033-table-33-engineered-feature-experiment-configuration.png
table,Table 34,"Table 34, Engineered-feature experiment average hold-out metrics across 30 runs",114,table-034-table-34-engineered-feature-experiment-average-hold-out-metrics-across-30-runs.png
figure,Figure 26,Figure 26. Average confusion matrix for the selected engineered-feature setting across 30 stratified hold-out runs.,114,figure-026-figure-26-average-confusion-matrix-for-the-selected-engineered-feature-setting-across-30-s.png
table,Table 35,"Table 35, Non-significant-feature experiment configuration",117,table-035-table-35-non-significant-feature-experiment-configuration.png
table,Table 36,"Table 36, Non-significant-feature experiment average hold-out metrics across 30 runs",119,table-036-table-36-non-significant-feature-experiment-average-hold-out-metrics-across-30-runs.png
figure,Figure 27,Figure 27. Average confusion matrix for the selected non-significant-feature setting across 30 stratified hold-out runs.,119,figure-027-figure-27-average-confusion-matrix-for-the-selected-non-significant-feature-setting-across.png
table,Table 37,"Table 37, SMOTE experiment configuration",122,table-037-table-37-smote-experiment-configuration.png
table,Table 38,"Table 38, SMOTE experiment average hold-out metrics across 30 runs",124,table-038-table-38-smote-experiment-average-hold-out-metrics-across-30-runs.png
figure,Figure 28,Figure 28. Average confusion matrix for the selected SMOTE setting across 30 stratified hold-out runs.,124,figure-028-figure-28-average-confusion-matrix-for-the-selected-smote-setting-across-30-stratified-hol.png
table,Table 39,"Table 39, Age-outlier experiment configuration",127,table-039-table-39-age-outlier-experiment-configuration.png
table,Table 40,"Table 40, Age-outlier experiment average hold-out metrics across 30 runs",129,table-040-table-40-age-outlier-experiment-average-hold-out-metrics-across-30-runs.png
figure,Figure 29,Figure 29. Average confusion matrix for the selected age-outlier setting across 30 stratified hold-out runs.,129,figure-029-figure-29-average-confusion-matrix-for-the-selected-age-outlier-setting-across-30-stratifi.png
table,Table 41,"Table 41, Section 5.3 feature-experiment decision summary",131,table-041-table-41-section-5-3-feature-experiment-decision-summary.png
table,Table 42,Table 42. External GPU grid-search summary and selected Gaussian Naive Bayes hyperparameters.,136,table-042-table-42-external-gpu-grid-search-summary-and-selected-gaussian-naive-bayes-hyperparameter.png
figure,Figure 30,"Figure 30. Local F2-CQS response curves from the external GPU grid search, showing the peak around the selected Gaussian Naive Bayes smoothing and prior values.",136,figure-030-figure-30-local-f2-cqs-response-curves-from-the-external-gpu-grid-search-showing-the-peak.png
table,Table 43,Table 43. Final Gaussian Naive Bayes configuration carried forward into the final evaluation.,141,table-043-table-43-final-gaussian-naive-bayes-configuration-carried-forward-into-the-final-evaluatio.png
table,Table 44,Table 44. Final Gaussian Naive Bayes average hold-out performance metrics across 100 stratified runs.,141,table-044-table-44-final-gaussian-naive-bayes-average-hold-out-performance-metrics-across-100-strati.png
figure,Figure 31,Figure 31. Final Gaussian Naive Bayes average confusion matrix across 100 stratified hold-out runs.,143,figure-031-figure-31-final-gaussian-naive-bayes-average-confusion-matrix-across-100-stratified-hold-o.png
table,Table 45,Table 45. Threshold checkpoints for the representative final-model split.,145,table-045-table-45-threshold-checkpoints-for-the-representative-final-model-split.png
figure,Figure 32,"Figure 32. Threshold trade-offs for the representative final-model split (seed 56), selected because its F2-score was closest to the 100-run mean.",145,figure-032-figure-32-threshold-trade-offs-for-the-representative-final-model-split-seed-56-selected-b.png
table,Table 46,"Table 46. Top permutation importances for the representative final-model split, measured by the mean drop in F2-score.",148,table-046-table-46-top-permutation-importances-for-the-representative-final-model-split-measured-by.png
figure,Figure 33,"Figure 33. Top permutation importances for the representative final-model split, ranked by the mean drop in F2-score.",148,figure-033-figure-33-top-permutation-importances-for-the-representative-final-model-split-ranked-by-t.png
table,Table 47,Table 47. Average subgroup error summary by gender across 100 final-model hold-out runs.,150,table-047-table-47-average-subgroup-error-summary-by-gender-across-100-final-model-hold-out-runs.png
figure,Figure 34,Figure 34. Average false-positive and false-negative counts by gender across 100 final-model hold-out runs.,150,figure-034-figure-34-average-false-positive-and-false-negative-counts-by-gender-across-100-final-mode.png
